﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Issue ID,Issue Type,Summary,Description,Priority,Assignee,Reporter,Labels,Sprint,Story Points,Epic Link,Component,Due Date
EPIC-0,Epic,"阶段0: 项目准备 (W1)","立项 / 采购 / 团队组建 / 章程签字",P0,PM,PM,"stage-0,preparation","Sprint 1",,EPIC-0,通用,W1
EPIC-1,Epic,"阶段1: 基础平台 (W2-W7)","K8s + 9 中间件 + 监控告警",P0,运维,PM,"stage-1,infra","Sprint 2-7",,EPIC-1,基础设施,W7
EPIC-2,Epic,"阶段2: 核心引擎 (W8-W13)","n8n + OpenClaw + AI + BPM",P0,架构师,PM,"stage-2,engine","Sprint 8-13",,EPIC-2,n8n,W13
EPIC-3,Epic,"阶段3: 业务模块 (W14-W21)","区块链 + DID + AI 获客 + 后台 + 移动",P0,后端,PM,"stage-3,business","Sprint 14-21",,EPIC-3,区块链,W21
EPIC-4,Epic,"阶段4: 性能与稳定性 (W22-W25)","压测 / 72h / 灰度 / 调优",P0,SRE,PM,"stage-4,performance","Sprint 22-25",,EPIC-4,性能,W25
EPIC-5,Epic,"阶段5: 上线运营 (W26+)","生产部署 / 7x24 / 持续迭代",P0,SRE,PM,"stage-5,ops","Sprint 26+",,EPIC-5,部署,W26+
STORY-0-1,Story,"召开方案评审会","评审 AI 自动化平台 v1.0 方案;产出评审纪要;5+ 决策人签字",P0,PM,PM,"stage-0,review",Sprint 1,0.5,EPIC-0,通用,2026-06-15
STORY-0-2,Story,"编写立项书 (含预算/范围/风险)","立项书 PDF;预算 157-238 万;18-24 周周期;风险矩阵",P0,PM,PM,"stage-0,charter",Sprint 1,1,EPIC-0,通用,2026-06-17
STORY-0-3,Story,"团队组建 (8 名工程师到岗)","架构师1/后端3/前端2/测试1/运维1;含 JD 和面试",P0,HR,PM,"stage-0,team",Sprint 1,2,EPIC-0,通用,2026-06-19
STORY-0-4,Story,"云资源采购 (32 台 ECS)","32 台 ECS / K8s ACK 开通;SSH 可达",P0,运维,PM,"stage-0,cloud",Sprint 1,0.5,EPIC-0,基础设施,2026-06-15
STORY-0-5,Story,"域名 + SSL 证书申请","3 个域名 + 3 个证书;DNS 解析",P1,运维,PM,"stage-0,ssl",Sprint 1,0.25,EPIC-0,基础设施,2026-06-15
STORY-0-6,Story,"Git 仓库初始化","GitLab 仓库创建;main/dev 分支保护",P0,架构师,PM,"stage-0,git",Sprint 1,0.25,EPIC-0,基础设施,2026-06-15
STORY-0-7,Story,"CI/CD 流水线搭建 (Hello World)","GitLab CI + ArgoCD 跑通 hello-world 镜像自动部署",P0,运维,PM,"stage-0,cicd",Sprint 1,1,EPIC-0,部署,2026-06-17
STORY-0-8,Story,"沟通渠道建立 (飞书群/邮件)","全员加入飞书群;邮件组创建",P2,PM,PM,"stage-0,comm",Sprint 1,0.25,EPIC-0,通用,2026-06-15
STORY-0-9,Story,"项目章程签字","5+ 关键人签字的章程 PDF",P1,PM,PM,"stage-0,charter",Sprint 1,0.25,EPIC-0,通用,2026-06-19
STORY-0-10,Story,"启动会 + 第一次站会","任务分工 100% 认领;会议纪要",P1,PM,PM,"stage-0,kickoff",Sprint 1,0.125,EPIC-0,通用,2026-06-19
STORY-0-11,Story,"需求调研 (10+ 业务部门访谈)","需求池建立;10+ 访谈纪要",P1,PM,PM,"stage-0,research",Sprint 1,1,EPIC-0,通用,2026-06-19
STORY-0-12,Story,"预算审批与合同签订","合同签订;预算释放",P0,PM,PM,"stage-0,finance",Sprint 1,0.375,EPIC-0,通用,2026-06-17
STORY-1-1,Story,"K8s 集群初始化 (3 master + 10 worker)","kubectl get nodes 显示 13 节点 Ready",P0,运维,PM,"stage-1,k8s",Sprint 2,2,EPIC-1,基础设施,2026-06-26
STORY-1-2,Story,"网络插件 (Calico) 部署","NetworkPolicy 生效;Pod 间互通",P0,运维,PM,"stage-1,network",Sprint 2,0.5,EPIC-1,基础设施,2026-06-26
STORY-1-3,Story,"存储类 (NFS/CSI) 部署","4 套 StorageClass;PVC 动态创建",P0,运维,PM,"stage-1,storage",Sprint 2,1,EPIC-1,基础设施,2026-06-26
STORY-1-4,Story,"Ingress (Nginx) 部署","https://test.example.com 返回 200",P0,运维,PM,"stage-1,ingress",Sprint 2,0.5,EPIC-1,基础设施,2026-06-26
STORY-1-5,Story,"镜像仓库 (Harbor) 部署","docker push/pull 测试通过",P0,运维,PM,"stage-1,harbor",Sprint 2,1,EPIC-1,基础设施,2026-06-26
STORY-1-6,Story,"证书管理 (cert-manager) 部署","证书自动签发;*.example.com 全自动",P1,运维,PM,"stage-1,cert",Sprint 2,0.5,EPIC-1,基础设施,2026-07-03
STORY-1-7,Story,"GitOps (ArgoCD) 部署","修改 Git 自动同步 K8s",P1,运维,PM,"stage-1,gitops",Sprint 2,1,EPIC-1,基础设施,2026-07-03
STORY-1-8,Story,"命名空间规划 (dev/staging/prod)","3 个 ns 创建;YAML 提交 Git",P0,运维,PM,"stage-1,ns",Sprint 2,0.25,EPIC-1,基础设施,2026-06-26
STORY-1-9,Story,"镜像安全扫描 (Trivy) 集成","漏洞扫描失败阻止推送",P1,运维,PM,"stage-1,security",Sprint 2,1,EPIC-1,安全,2026-07-03
STORY-1-10,Story,"K8s 备份 (Velero) 部署","定时备份 CRD 资源;可恢复",P2,运维,PM,"stage-1,backup",Sprint 2,0.5,EPIC-1,部署,2026-07-03
STORY-1-11,Story,"PostgreSQL 16 集群 (1主2从+1只读)","主从切换 < 30s;连接池 100+ 并发",P0,运维,PM,"stage-1,pg",Sprint 3,3,EPIC-1,中间件,2026-07-10
STORY-1-12,Story,"Redis 7 Cluster (3主3从)","cluster info 状态 ok;槽位完整",P0,运维,PM,"stage-1,redis",Sprint 3,2,EPIC-1,中间件,2026-07-10
STORY-1-13,Story,"MongoDB 7 集群 (1主2从)","分片副本集正常;副本延迟 < 5s",P1,运维,PM,"stage-1,mongo",Sprint 3,2,EPIC-1,中间件,2026-07-10
STORY-1-14,Story,"Kafka 3.x 集群 (3 broker + ZK)","生产消费测试通过;ISR 完整",P0,运维,PM,"stage-1,kafka",Sprint 3,2,EPIC-1,中间件,2026-07-10
STORY-1-15,Story,"MinIO 对象存储 (4 节点 EC)","上传/下载测试;纠删码正常",P1,运维,PM,"stage-1,minio",Sprint 3,1,EPIC-1,中间件,2026-07-10
STORY-1-16,Story,"Milvus 2.x 向量库 (3 节点+etcd)","向量插入/检索;召回率 > 95%",P1,后端,PM,"stage-1,milvus",Sprint 3,2,EPIC-1,中间件,2026-07-17
STORY-1-17,Story,"ClickHouse OLAP (3 节点)","1 亿行导入;查询 P95 < 1s",P1,后端,PM,"stage-1,clickhouse",Sprint 3,2,EPIC-1,中间件,2026-07-17
